"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.62293e+004,-3.32512e+002,6.89791e-001,1.59890e+000,1.31816e+001,6.84522e+000,1.73213e+000,1,2.80000e+002,-1.72000e+003,0.00000e+000,0.00000e+000
-8.62334e+004,-3.32476e+002,6.96779e-001,1.46436e+000,1.31727e+001,6.83556e+000,1.73327e+000,1,2.84000e+002,-1.71600e+003,0.00000e+000,0.00000e+000
-8.62374e+004,-3.32440e+002,7.03767e-001,1.32982e+000,1.31637e+001,6.82590e+000,1.73441e+000,1,2.88000e+002,-1.71200e+003,0.00000e+000,0.00000e+000
-8.62415e+004,-3.32404e+002,7.10755e-001,1.19529e+000,1.31548e+001,6.81624e+000,1.73555e+000,1,2.92000e+002,-1.70800e+003,0.00000e+000,0.00000e+000
-8.62456e+004,-3.32368e+002,7.17742e-001,1.06075e+000,1.31458e+001,6.80658e+000,1.73669e+000,1,2.96000e+002,-1.70400e+003,0.00000e+000,0.00000e+000
-8.62497e+004,-3.32332e+002,7.24730e-001,9.26218e-001,1.31369e+001,6.79692e+000,1.73783e+000,1,3.00000e+002,-1.70000e+003,0.00000e+000,0.00000e+000
-8.62538e+004,-3.32296e+002,7.31718e-001,7.91683e-001,1.31279e+001,6.78726e+000,1.73897e+000,1,3.04000e+002,-1.69600e+003,0.00000e+000,0.00000e+000
-8.62579e+004,-3.32260e+002,7.38706e-001,6.57148e-001,1.31190e+001,6.77760e+000,1.74011e+000,1,3.08000e+002,-1.69200e+003,0.00000e+000,0.00000e+000
-8.62620e+004,-3.32224e+002,7.45694e-001,5.22612e-001,1.31100e+001,6.76794e+000,1.74125e+000,1,3.12000e+002,-1.68800e+003,0.00000e+000,0.00000e+000
-8.62661e+004,-3.32189e+002,7.52682e-001,3.88077e-001,1.31011e+001,6.75829e+000,1.74238e+000,1,3.16000e+002,-1.68400e+003,0.00000e+000,0.00000e+000
-8.62702e+004,-3.32153e+002,7.59670e-001,2.53541e-001,1.30921e+001,6.74863e+000,1.74352e+000,1,3.20000e+002,-1.68000e+003,0.00000e+000,0.00000e+000
-8.62666e+004,-3.32167e+002,7.63644e-001,2.53947e-001,1.30743e+001,6.73218e+000,1.74487e+000,1,3.24000e+002,-1.67600e+003,0.00000e+000,0.00000e+000
-8.62630e+004,-3.32182e+002,7.67618e-001,2.54354e-001,1.30565e+001,6.71573e+000,1.74623e+000,1,3.28000e+002,-1.67200e+003,0.00000e+000,0.00000e+000
-8.62594e+004,-3.32197e+002,7.71593e-001,2.54760e-001,1.30387e+001,6.69928e+000,1.74758e+000,1,3.32000e+002,-1.66800e+003,0.00000e+000,0.00000e+000
-8.62558e+004,-3.32211e+002,7.75567e-001,2.55166e-001,1.30209e+001,6.68283e+000,1.74893e+000,1,3.36000e+002,-1.66400e+003,0.00000e+000,0.00000e+000
-8.62522e+004,-3.32226e+002,7.79541e-001,2.55572e-001,1.30031e+001,6.66639e+000,1.75028e+000,1,3.40000e+002,-1.66000e+003,0.00000e+000,0.00000e+000
-8.62486e+004,-3.32241e+002,7.83515e-001,2.55978e-001,1.29852e+001,6.64994e+000,1.75163e+000,1,3.44000e+002,-1.65600e+003,0.00000e+000,0.00000e+000
-8.62450e+004,-3.32256e+002,7.87489e-001,2.56384e-001,1.29674e+001,6.63349e+000,1.75298e+000,1,3.48000e+002,-1.65200e+003,0.00000e+000,0.00000e+000
-8.62415e+004,-3.32270e+002,7.91464e-001,2.56791e-001,1.29496e+001,6.61704e+000,1.75433e+000,1,3.52000e+002,-1.64800e+003,0.00000e+000,0.00000e+000
-8.62379e+004,-3.32285e+002,7.95438e-001,2.57197e-001,1.29318e+001,6.60059e+000,1.75568e+000,1,3.56000e+002,-1.64400e+003,0.00000e+000,0.00000e+000
